AA,2
AAL,3
AB,4
ABY,8
ACE,5
ACME,8
ACRE,6
ACT,5
ACTA,6
ACTS,6
ADS,4
AE,2
AERO,4
AFT,6
AG,3
AGIN,5
AGIO,5
AGO,4
AHS,6
AI,2
AIN,3
AIR,3
AIRT,4
AIT,3
AL,2
ALAN,4
ALB,5
ALE,3
ALL,3
ALLY,7
ALME,6
ALSO,4
AM,4
AMEN,6
AMID,7
AMP,7
AN,2
ANY,6
APO,5
APP,7
APT,5
AR,2
ARC,5
ARCO,6
ARE,3
ARES,4
ARIA,4
ASH,6
ASPS,6
AT,2
ATE,3
ATONY,8
AVA,6
AVID,8
AWAY,10
AWRY,10
AXE,10
AZO,12
BA,4
BAA,5
BABA,8
BABY,11
BAH,8
BAM,7
BAP,7
BAS,5
BEAT,6
BEE,5
BEEN,6
BEER,6
BEL,5
BELLY,10
BEN,5
BEST,6
BIB,7
BID,6
BIG,6
BIN,5
BIND,7
BIO,5
BIOS,6
BIS,5
BIT,5
BLIN,6
BLUE,6
BODY,10
BOLT,6
BONE,6
BOOM,8
BOOT,6
BORK,10
BORN,6
BOSSY,10
BOTA,6
BREW,9
BRO,5
BUD,6
BUR,5
BURL,6
CAB,7
CAKE,10
CALL,6
CALM,8
CALX,13
CAM,7
CAMP,10
CAPE,8
CAPS,8
CAR,5
CARB,8
CARE,6
CART,6
CASH,9
CAST,6
CAT,5
CEE,5
CEL,5
CENT,6
CEP,7
CERE,6
CHEF,12
CHI,8
CHOP,11
CHUFF,16
CHUM,11
CIG,6
CLAD,7
CLUB,8
COB,7
COCO,8
CODE,7
COG,6
COKE,10
COL,5
CONE,6
CONN,6
COO,5
COOL,6
COP,7
COR,5
CORE,6
COST,6
COT,5
COTE,6
COUP,8
CRIS,6
CRUS,6
CRY,8
CUB,7
CUBE,8
CUR,5
CURN,6
CYAN,9
DAL,4
DAN,4
DANG,6
DATA,5
DATE,5
DE,3
DEAR,5
DECK,11
DEER,5
DEL,4
DERM,7
DEWY,11
DEX,11
DIN,4
DIS,4
DISH,8
DIT,4
DO,3
DOC,6
DOM,6
DOOR,5
DORM,7
DOW,7
DRAM,7
DROP,7
DRYS,8
DYER,8
EARN,4
EARS,4
EAT,3
ECHO,9
ED,3
EDS,4
EFF,9
EFT,6
EGO,4
EL,2
ELS,3
ELSE,4
EME,5
EMES,6
ENG,4
ENS,3
ERA,3
EROS,4
ERS,3
ESS,3
ETH,6
EVER,7
EXAM,13
EXPO,13
EYES,7
FANG,8
FARE,7
FARM,9
FARO,7
FAST,7
FATE,7
FAX,13
FE,5
FEN,6
FES,6
FET,6
FICO,9
FIG,7
FILM,9
FIRE,7
FIRRY,11
FISH,10
FIVE,10
FIX,13
FIZZ,15
FLEX,14
FLIC,9
FLIR,7
FLY,9
FOE,6
FOLD,8
FOR,6
FORD,8
FORM,9
FORTY,11
FOX,13
FREE,7
FRO,6
FUEL,7
FULL,7
FUN,6
FUND,8
FUR,6
GAB,6
GAGA,6
GAIN,5
GALE,5
GAM,6
GAME,7
GARS,5
GAS,4
GAWK,12
GEL,4
GENE,5
GENT,5
GHI,7
GIB,6
GIG,5
GIGA,6
GILD,6
GILT,5
GLAD,6
GLOB,7
GLOP,7
GLOW,8
GOAS,5
GOGO,6
GOLD,6
GOOD,6
GRAM,7
GREW,8
GRID,6
GROG,6
GROW,8
GRUB,7
GUID,6
GULF,8
GUT,4
GYRO,8
HA,5
HAE,6
HALL,7
HALO,7
HARL,7
HART,7
HAS,6
HAST,7
HAWK,14
HE,5
HEAR,7
HEAT,7
HEMP,11
HEP,8
HERB,9
HERO,7
HES,6
HI,5
HILL,7
HIVE,10
HOG,7
HOME,9
HON,6
HOPS,9
HOS,6
HOT,6
HUBS,9
HUGE,8
HUM,8
HUN,6
ICE,5
ICH,8
ICON,6
IDEA,5
IF,5
IFF,9
IGLU,5
IMMY,11
INFO,7
INKS,8
INN,3
INS,3
IRE,3
ISLE,4
ISM,5
IT,2
JACK,17
JADE,12
JAZZ,19
JIVE,14
JOB,12
JOBS,13
JOE,10
JOES,11
JOEY,14
JOY,13
KEF,10
KEG,8
KENS,8
KEP,9
KEX,14
KEY,10
KEYS,11
KHI,10
KIN,7
KING,9
KINS,8
KIPS,10
KIRK,12
KITE,8
KNOP,10
KOP,9
KORS,8
KOS,7
KOSS,8
KURU,8
KYE,10
LAD,4
LAKE,8
LAND,5
LARK,8
LAS,3
LAWS,7
LEA,3
LEAF,7
LEAP,6
LEE,3
LEG,4
LEI,3
LEU,3
LEVY,10
LIME,6
LIN,3
LINE,4
LINK,8
LION,4
LIVE,7
LO,2
LOAN,4
LOCK,10
LOCO,6
LODE,5
LONG,5
LOOK,8
LOPE,6
LOW,6
LULU,4
LUNA,4
LUV,6
LUX,10
MA,4
MAC,7
MACE,8
MACK,12
MAG,6
MAGS,7
MAIN,6
MAKO,10
MAN,5
MANY,9
MAR,5
MARA,6
MARK,10
MAS,5
MAT,5
MAYS,9
MEAD,7
MED,6
MEET,6
MEG,6
MEME,8
MEMS,8
MEN,5
MERC,8
MET,5
MHO,8
MIC,7
MIG,6
MIL,5
MILL,6
MINA,6
MIND,7
